model,(Intercept),ECI_yoy_ch_3QMA_lag_4,avg_oil_pri_barrel_3QMA,Rl_est_Dub_q_yoy_ch_lag_1,avg_oil_pri_barrel_3QMA_lag_2,Non_oil_ECI_yoy_ch_3QMA_lag_3,Non_oil_ECI_yoy_ch_6QMA,avg_oil_pri_barrel,avg_oil_pri_barrel_3QMA_lag_1,avg_oil_pri_barrel_6QMA_lag_1,avg_oil_pri_barrel_lag_2,avg_oil_pri_barrel_lag_3,se.(Intercept),se.ECI_yoy_ch_3QMA_lag_4,se.avg_oil_pri_barrel_3QMA,se.Rl_est_Dub_q_yoy_ch_lag_1,se.avg_oil_pri_barrel_3QMA_lag_2,se.Non_oil_ECI_yoy_ch_3QMA_lag_3,se.Non_oil_ECI_yoy_ch_6QMA,se.avg_oil_pri_barrel,se.avg_oil_pri_barrel_3QMA_lag_1,se.avg_oil_pri_barrel_6QMA_lag_1,se.avg_oil_pri_barrel_lag_2,se.avg_oil_pri_barrel_lag_3,t.(Intercept),t.ECI_yoy_ch_3QMA_lag_4,t.avg_oil_pri_barrel_3QMA,t.Rl_est_Dub_q_yoy_ch_lag_1,t.avg_oil_pri_barrel_3QMA_lag_2,t.Non_oil_ECI_yoy_ch_3QMA_lag_3,t.Non_oil_ECI_yoy_ch_6QMA,t.avg_oil_pri_barrel,t.avg_oil_pri_barrel_3QMA_lag_1,t.avg_oil_pri_barrel_6QMA_lag_1,t.avg_oil_pri_barrel_lag_2,t.avg_oil_pri_barrel_lag_3,p.(Intercept),p.ECI_yoy_ch_3QMA_lag_4,p.avg_oil_pri_barrel_3QMA,p.Rl_est_Dub_q_yoy_ch_lag_1,p.avg_oil_pri_barrel_3QMA_lag_2,p.Non_oil_ECI_yoy_ch_3QMA_lag_3,p.Non_oil_ECI_yoy_ch_6QMA,p.avg_oil_pri_barrel,p.avg_oil_pri_barrel_3QMA_lag_1,p.avg_oil_pri_barrel_6QMA_lag_1,p.avg_oil_pri_barrel_lag_2,p.avg_oil_pri_barrel_lag_3,R2,adjR2,MAPE_test,MAPE_training,RMSE,pF,BP_statistic,BP_pvalue,dw_statistic,dw_pvalue,shapiro_statistic,shapiro_pvalue,adf_statistic,adf_pvalue,dfdirectioncheck,LHS,RHS,RHS1,RHS2,RHS3
DR ~ Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel,0.0322,,,-0.0294,,,,-2e-04,,,,,0.0027,,,0.0054,,,,0,,,,,12.1222,,,-5.449,,,,-5.9518,,,,,0,,,0,,,,0,,,,,0.7993,0.7838,0.1212,0.288,0.0042,0,1.2253,0.5419,0.7112,0,0.9578,0.2892,-3.0411,0.1735,0.5,DR , Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel,Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel
DR ~ Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel_3QMA_lag_1,0.0399,,,-0.0122,,,,,-3e-04,,,,0.0026,,,0.0049,,,,,0,,,,15.5964,,,-2.4942,,,,,-9.1665,,,,0,,,0.0193,,,,,0,,,,0.8879,0.8793,0.0814,0.1891,0.0031,0,3.8881,0.1431,0.8747,0,0.8833,0.004,-3.8177,0.0333,0.5,DR , Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel_3QMA_lag_1, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_3QMA_lag_1, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_3QMA_lag_1,Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_3QMA_lag_1
DR ~ Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel_6QMA_lag_1,0.0474,,,-0.0024,,,,,,-4e-04,,,0.0031,,,0.0053,,,,,,0,,,15.2027,,,-0.4557,,,,,,-9.8799,,,0,,,0.6524,,,,,,0,,,0.9003,0.8926,0.1931,0.201,0.003,0,3.2746,0.1945,0.6808,0,0.9819,0.8829,-3.9643,0.0238,0.5,DR , Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel_6QMA_lag_1, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_6QMA_lag_1, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_6QMA_lag_1,Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_6QMA_lag_1
DR ~ Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel_lag_2,0.0385,,,-0.0134,,,,,,,-3e-04,,0.0027,,,0.0053,,,,,,,0,,14.4346,,,-2.5336,,,,,,,-8.26,,0,,,0.0177,,,,,,,0,,0.8692,0.8591,0.0998,0.1997,0.0034,0,3.1566,0.2063,0.9814,0,0.9353,0.0755,-3.3687,0.0809,0.5,DR , Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel_lag_2, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_lag_2, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_lag_2,Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_lag_2
DR ~ Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel_lag_3,0.0404,,,-0.0084,,,,,,,,-3e-04,0.0031,,,0.0061,,,,,,,,0,12.9478,,,-1.3786,,,,,,,,-7.6511,0,,,0.1798,,,,,,,,0,0.8542,0.8429,0.0882,0.2356,0.0036,0,6.0264,0.0491,1.1162,0,0.9407,0.1048,-3.98,0.0233,0.5,DR , Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel_lag_3, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_lag_3, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_lag_3,Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_lag_3
DR ~ avg_oil_pri_barrel_3QMA_lag_2+Non_oil_ECI_yoy_ch_3QMA_lag_3,0.0437,,,,-3e-04,-0.0599,,,,,,,0.002,,,,0,0.0223,,,,,,,22.2721,,,,-12.0646,-2.6814,,,,,,,0,,,,0,0.0126,,,,,,,0.9074,0.9002,0.0983,0.1742,0.0029,0,9.8847,0.0071,0.9318,0,0.974,0.6732,-4.1092,0.0187,1,DR , avg_oil_pri_barrel_3QMA_lag_2+Non_oil_ECI_yoy_ch_3QMA_lag_3, avg_oil_pri_barrel_3QMA_lag_2|Non_oil_ECI_yoy_ch_3QMA_lag_3, avg_oil_pri_barrel_3QMA_lag_2|Non_oil_ECI_yoy_ch_3QMA_lag_3,avg_oil_pri_barrel_3QMA_lag_2|Non_oil_ECI_yoy_ch_3QMA_lag_3
DR ~ avg_oil_pri_barrel_3QMA_lag_2+Non_oil_ECI_yoy_ch_6QMA,0.0435,,,,-3e-04,,-0.0946,,,,,,0.0019,,,,0,,0.0307,,,,,,22.9509,,,,-10.5433,,-3.0821,,,,,,0,,,,0,,0.0048,,,,,,0.9134,0.9067,0.0937,0.1634,0.0028,0,12.7996,0.0017,1.0208,0,0.9705,0.5738,-4.2708,0.0129,1,DR , avg_oil_pri_barrel_3QMA_lag_2+Non_oil_ECI_yoy_ch_6QMA, avg_oil_pri_barrel_3QMA_lag_2|Non_oil_ECI_yoy_ch_6QMA, avg_oil_pri_barrel_3QMA_lag_2|Non_oil_ECI_yoy_ch_6QMA,avg_oil_pri_barrel_3QMA_lag_2|Non_oil_ECI_yoy_ch_6QMA
DR ~ avg_oil_pri_barrel_3QMA_lag_2+avg_oil_pri_barrel,0.0452,,,,-3e-04,,,0,,,,,0.0022,,,,0,,,0,,,,,20.978,,,,-8.6064,,,-1.2366,,,,,0,,,,0,,,0.2273,,,,,0.8883,0.8797,0.1138,0.1543,0.0031,0,2.6648,0.2638,0.8725,0,0.7943,1e-04,-5.3284,0.01,1,DR , avg_oil_pri_barrel_3QMA_lag_2+avg_oil_pri_barrel, avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel, avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel,avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel
DR ~ avg_oil_pri_barrel_3QMA_lag_2+avg_oil_pri_barrel_3QMA_lag_1,0.0448,,,,-2e-04,,,,-1e-04,,,,0.0021,,,,1e-04,,,,1e-04,,,,21.302,,,,-2.5774,,,,-1.3425,,,,0,,,,0.016,,,,0.191,,,,0.8894,0.8809,0.1183,0.1559,0.0031,0,2.7771,0.2494,0.8363,0,0.7863,0,-5.375,0.01,1,DR , avg_oil_pri_barrel_3QMA_lag_2+avg_oil_pri_barrel_3QMA_lag_1, avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_3QMA_lag_1, avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_3QMA_lag_1,avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_3QMA_lag_1
DR ~ avg_oil_pri_barrel_3QMA_lag_2+avg_oil_pri_barrel_6QMA_lag_1,0.0477,,,,-1e-04,,,,,-3e-04,,,0.0024,,,,1e-04,,,,,1e-04,,,19.952,,,,-0.7212,,,,,-2.2802,,,0,,,,0.4772,,,,,0.031,,,0.9014,0.8939,0.1897,0.186,0.0029,0,15.4771,4e-04,0.7084,0,0.9864,0.9626,-4.3724,0.01,1,DR , avg_oil_pri_barrel_3QMA_lag_2+avg_oil_pri_barrel_6QMA_lag_1, avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_6QMA_lag_1, avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_6QMA_lag_1,avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_6QMA_lag_1
DR ~ avg_oil_pri_barrel_3QMA_lag_2+avg_oil_pri_barrel_lag_2,0.0447,,,,-3e-04,,,,,,-1e-04,,0.0021,,,,1e-04,,,,,,1e-04,,21.0039,,,,-3.3915,,,,,,-1.0898,,0,,,,0.0022,,,,,,0.2858,,0.8869,0.8782,0.1194,0.1646,0.0032,0,2.7855,0.2484,0.8676,0,0.7972,1e-04,-4.9068,0.01,1,DR , avg_oil_pri_barrel_3QMA_lag_2+avg_oil_pri_barrel_lag_2, avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_lag_2, avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_lag_2,avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_lag_2
DR ~ avg_oil_pri_barrel_3QMA_lag_2+avg_oil_pri_barrel_lag_3,0.0449,,,,-5e-04,,,,,,,1e-04,0.0021,,,,2e-04,,,,,,,1e-04,20.8914,,,,-3.0934,,,,,,,0.9391,0,,,,0.0047,,,,,,,0.3563,0.8856,0.8768,0.124,0.1731,0.0032,0,2.6679,0.2634,0.9078,0.002,0.884,0.0041,-4.4229,0.01,0.5,DR , avg_oil_pri_barrel_3QMA_lag_2+avg_oil_pri_barrel_lag_3, avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_lag_3, avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_lag_3,avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_lag_3
DR ~ Non_oil_ECI_yoy_ch_3QMA_lag_3+Non_oil_ECI_yoy_ch_6QMA,0.0352,,,,,0.7141,-1.1938,,,,,,0.0024,,,,,0.1472,0.1882,,,,,,14.4214,,,,,4.8504,-6.3447,,,,,,0,,,,,0,0,,,,,,0.7601,0.7417,0.1559,0.2936,0.0046,0,7.8274,0.02,0.9115,0,0.9374,0.0856,-1.8913,0.6143,0.5,DR , Non_oil_ECI_yoy_ch_3QMA_lag_3+Non_oil_ECI_yoy_ch_6QMA, Non_oil_ECI_yoy_ch_3QMA_lag_3|Non_oil_ECI_yoy_ch_6QMA, Non_oil_ECI_yoy_ch_3QMA_lag_3|Non_oil_ECI_yoy_ch_6QMA,Non_oil_ECI_yoy_ch_3QMA_lag_3|Non_oil_ECI_yoy_ch_6QMA
DR ~ Non_oil_ECI_yoy_ch_3QMA_lag_3+avg_oil_pri_barrel,0.041,,,,,-0.1802,,-2e-04,,,,,0.002,,,,,0.0213,,0,,,,,20.5282,,,,,-8.445,,-10.6009,,,,,0,,,,,0,,0,,,,,0.8851,0.8763,0.0976,0.2032,0.0032,0,1.6869,0.4302,0.9558,0,0.9509,0.1926,-2.4614,0.3957,1,DR , Non_oil_ECI_yoy_ch_3QMA_lag_3+avg_oil_pri_barrel, Non_oil_ECI_yoy_ch_3QMA_lag_3|avg_oil_pri_barrel, Non_oil_ECI_yoy_ch_3QMA_lag_3|avg_oil_pri_barrel,Non_oil_ECI_yoy_ch_3QMA_lag_3|avg_oil_pri_barrel
DR ~ Non_oil_ECI_yoy_ch_3QMA_lag_3+avg_oil_pri_barrel_3QMA_lag_1,0.0435,,,,,-0.1044,,,-3e-04,,,,0.0013,,,,,0.0146,,,0,,,,32.5345,,,,,-7.1574,,,-17.7196,,,,0,,,,,0,,,0,,,,0.9532,0.9497,0.0775,0.1384,0.002,0,9.4051,0.0091,1.4517,0.05,0.987,0.9693,-3.6851,0.0429,1,DR , Non_oil_ECI_yoy_ch_3QMA_lag_3+avg_oil_pri_barrel_3QMA_lag_1, Non_oil_ECI_yoy_ch_3QMA_lag_3|avg_oil_pri_barrel_3QMA_lag_1, Non_oil_ECI_yoy_ch_3QMA_lag_3|avg_oil_pri_barrel_3QMA_lag_1,Non_oil_ECI_yoy_ch_3QMA_lag_3|avg_oil_pri_barrel_3QMA_lag_1
DR ~ Non_oil_ECI_yoy_ch_3QMA_lag_3+avg_oil_pri_barrel_6QMA_lag_1,0.0474,,,,,-0.0337,,,,-4e-04,,,0.0023,,,,,0.0236,,,,0,,,21.04,,,,,-1.4293,,,,-12.0218,,,0,,,,,0.1648,,,,0,,,0.9068,0.8996,0.1758,0.1993,0.0029,0,0.8392,0.6573,0.6855,0,0.9709,0.5837,-3.8864,0.0283,1,DR , Non_oil_ECI_yoy_ch_3QMA_lag_3+avg_oil_pri_barrel_6QMA_lag_1, Non_oil_ECI_yoy_ch_3QMA_lag_3|avg_oil_pri_barrel_6QMA_lag_1, Non_oil_ECI_yoy_ch_3QMA_lag_3|avg_oil_pri_barrel_6QMA_lag_1,Non_oil_ECI_yoy_ch_3QMA_lag_3|avg_oil_pri_barrel_6QMA_lag_1
DR ~ Non_oil_ECI_yoy_ch_3QMA_lag_3+avg_oil_pri_barrel_lag_2,0.0425,,,,,-0.11,,,,,-3e-04,,0.0015,,,,,0.0164,,,,,0,,28.9937,,,,,-6.7169,,,,,-15.5077,,0,,,,,0,,,,,0,,0.9404,0.9358,0.091,0.1613,0.0023,0,4.9054,0.0861,1.5503,0.116,0.975,0.7001,-3.0305,0.1775,1,DR , Non_oil_ECI_yoy_ch_3QMA_lag_3+avg_oil_pri_barrel_lag_2, Non_oil_ECI_yoy_ch_3QMA_lag_3|avg_oil_pri_barrel_lag_2, Non_oil_ECI_yoy_ch_3QMA_lag_3|avg_oil_pri_barrel_lag_2,Non_oil_ECI_yoy_ch_3QMA_lag_3|avg_oil_pri_barrel_lag_2
DR ~ Non_oil_ECI_yoy_ch_3QMA_lag_3+avg_oil_pri_barrel_lag_3,0.0423,,,,,-0.0707,,,,,,-3e-04,0.0022,,,,,0.025,,,,,,0,19.6016,,,,,-2.8252,,,,,,-10.3318,0,,,,,0.009,,,,,,0,0.8803,0.8711,0.0807,0.2179,0.0033,0,4.7631,0.0924,1.1912,0.012,0.9821,0.8883,-3.6242,0.0474,1,DR , Non_oil_ECI_yoy_ch_3QMA_lag_3+avg_oil_pri_barrel_lag_3, Non_oil_ECI_yoy_ch_3QMA_lag_3|avg_oil_pri_barrel_lag_3, Non_oil_ECI_yoy_ch_3QMA_lag_3|avg_oil_pri_barrel_lag_3,Non_oil_ECI_yoy_ch_3QMA_lag_3|avg_oil_pri_barrel_lag_3
DR ~ Non_oil_ECI_yoy_ch_6QMA+avg_oil_pri_barrel,0.0407,,,,,,-0.2361,-2e-04,,,,,0.002,,,,,,0.0288,0,,,,,20.0524,,,,,,-8.2117,-8.5621,,,,,0,,,,,,0,0,,,,,0.8804,0.8712,0.0975,0.209,0.0032,0,2.4011,0.301,0.9314,0,0.9331,0.066,-2.5867,0.3477,1,DR , Non_oil_ECI_yoy_ch_6QMA+avg_oil_pri_barrel, Non_oil_ECI_yoy_ch_6QMA|avg_oil_pri_barrel, Non_oil_ECI_yoy_ch_6QMA|avg_oil_pri_barrel,Non_oil_ECI_yoy_ch_6QMA|avg_oil_pri_barrel
DR ~ Non_oil_ECI_yoy_ch_6QMA+avg_oil_pri_barrel_3QMA_lag_1,0.0434,,,,,,-0.1437,,-3e-04,,,,0.0014,,,,,,0.0206,,0,,,,31.9189,,,,,,-6.983,,-14.8332,,,,0,,,,,,0,,0,,,,0.9517,0.948,0.075,0.1367,0.0021,0,14.9341,6e-04,1.5723,0.116,0.9815,0.8752,-3.5806,0.051,1,DR , Non_oil_ECI_yoy_ch_6QMA+avg_oil_pri_barrel_3QMA_lag_1, Non_oil_ECI_yoy_ch_6QMA|avg_oil_pri_barrel_3QMA_lag_1, Non_oil_ECI_yoy_ch_6QMA|avg_oil_pri_barrel_3QMA_lag_1,Non_oil_ECI_yoy_ch_6QMA|avg_oil_pri_barrel_3QMA_lag_1
DR ~ Non_oil_ECI_yoy_ch_6QMA+avg_oil_pri_barrel_6QMA_lag_1,0.047,,,,,,-0.0623,,,-3e-04,,,0.0022,,,,,,0.0331,,,0,,,21.2519,,,,,,-1.8815,,,-10.4054,,,0,,,,,,0.0712,,,0,,,0.9115,0.9047,0.1608,0.1944,0.0028,0,1.0048,0.6051,0.7359,0,0.9636,0.4007,-3.7846,0.0357,1,DR , Non_oil_ECI_yoy_ch_6QMA+avg_oil_pri_barrel_6QMA_lag_1, Non_oil_ECI_yoy_ch_6QMA|avg_oil_pri_barrel_6QMA_lag_1, Non_oil_ECI_yoy_ch_6QMA|avg_oil_pri_barrel_6QMA_lag_1,Non_oil_ECI_yoy_ch_6QMA|avg_oil_pri_barrel_6QMA_lag_1
DR ~ Non_oil_ECI_yoy_ch_6QMA+avg_oil_pri_barrel_lag_2,0.0425,,,,,,-0.1527,,,,-2e-04,,0.0014,,,,,,0.0223,,,,0,,29.3238,,,,,,-6.8409,,,,-13.3384,,0,,,,,,0,,,,0,,0.9417,0.9373,0.0905,0.1561,0.0023,0,10.8659,0.0044,1.6602,0.17,0.963,0.3897,-2.9548,0.2066,1,DR , Non_oil_ECI_yoy_ch_6QMA+avg_oil_pri_barrel_lag_2, Non_oil_ECI_yoy_ch_6QMA|avg_oil_pri_barrel_lag_2, Non_oil_ECI_yoy_ch_6QMA|avg_oil_pri_barrel_lag_2,Non_oil_ECI_yoy_ch_6QMA|avg_oil_pri_barrel_lag_2
DR ~ Non_oil_ECI_yoy_ch_6QMA+avg_oil_pri_barrel_lag_3,0.0422,,,,,,-0.1135,,,,,-3e-04,0.002,,,,,,0.0334,,,,,0,20.6159,,,,,,-3.395,,,,,-9.1421,0,,,,,,0.0022,,,,,0,0.8916,0.8832,0.0761,0.2083,0.0031,0,7.2747,0.0263,1.2567,0.008,0.9801,0.8399,-3.7822,0.0359,1,DR , Non_oil_ECI_yoy_ch_6QMA+avg_oil_pri_barrel_lag_3, Non_oil_ECI_yoy_ch_6QMA|avg_oil_pri_barrel_lag_3, Non_oil_ECI_yoy_ch_6QMA|avg_oil_pri_barrel_lag_3,Non_oil_ECI_yoy_ch_6QMA|avg_oil_pri_barrel_lag_3
DR ~ avg_oil_pri_barrel+avg_oil_pri_barrel_3QMA_lag_1,0.0434,,,,,,,1e-04,-4e-04,,,,0.0022,,,,,,,0,0,,,,19.5031,,,,,,,1.4245,-7.7961,,,,0,,,,,,,0.1662,0,,,,0.8712,0.8613,0.1161,0.172,0.0034,0,1.4839,0.4762,0.819,0,0.8098,1e-04,-4.1086,0.0187,0.5,DR , avg_oil_pri_barrel+avg_oil_pri_barrel_3QMA_lag_1, avg_oil_pri_barrel|avg_oil_pri_barrel_3QMA_lag_1, avg_oil_pri_barrel|avg_oil_pri_barrel_3QMA_lag_1,avg_oil_pri_barrel|avg_oil_pri_barrel_3QMA_lag_1
DR ~ avg_oil_pri_barrel+avg_oil_pri_barrel_6QMA_lag_1,0.0489,,,,,,,-1e-04,,-3e-04,,,0.0021,,,,,,,0,,0,,,23.5129,,,,,,,-2.0156,,-10.1272,,,0,,,,,,,0.0543,,0,,,0.9131,0.9064,0.1931,0.1677,0.0028,0,6.1017,0.0473,0.7647,0,0.9766,0.7452,-3.9252,0.0255,1,DR , avg_oil_pri_barrel+avg_oil_pri_barrel_6QMA_lag_1, avg_oil_pri_barrel|avg_oil_pri_barrel_6QMA_lag_1, avg_oil_pri_barrel|avg_oil_pri_barrel_6QMA_lag_1,avg_oil_pri_barrel|avg_oil_pri_barrel_6QMA_lag_1
DR ~ avg_oil_pri_barrel+avg_oil_pri_barrel_lag_2,0.0422,,,,,,,0,,,-3e-04,,0.0025,,,,,,,0,,,0,,17.2197,,,,,,,0.3736,,,-6.5487,,0,,,,,,,0.7117,,,0,,0.8377,0.8252,0.1035,0.1884,0.0038,0,1.3599,0.5066,0.8669,0,0.8618,0.0013,-3.8036,0.0343,0.5,DR , avg_oil_pri_barrel+avg_oil_pri_barrel_lag_2, avg_oil_pri_barrel|avg_oil_pri_barrel_lag_2, avg_oil_pri_barrel|avg_oil_pri_barrel_lag_2,avg_oil_pri_barrel|avg_oil_pri_barrel_lag_2
DR ~ avg_oil_pri_barrel+avg_oil_pri_barrel_lag_3,0.0443,,,,,,,-1e-04,,,,-3e-04,0.0024,,,,,,,0,,,,0,18.6016,,,,,,,-1.7427,,,,-7.3329,0,,,,,,,0.0932,,,,0,0.8599,0.8491,0.0967,0.1756,0.0035,0,2.1184,0.3467,1.0682,0.008,0.8285,3e-04,-4.1566,0.017,1,DR , avg_oil_pri_barrel+avg_oil_pri_barrel_lag_3, avg_oil_pri_barrel|avg_oil_pri_barrel_lag_3, avg_oil_pri_barrel|avg_oil_pri_barrel_lag_3,avg_oil_pri_barrel|avg_oil_pri_barrel_lag_3
DR ~ avg_oil_pri_barrel_3QMA_lag_1+avg_oil_pri_barrel_6QMA_lag_1,0.0477,,,,,,,,-1e-04,-3e-04,,,0.0021,,,,,,,,1e-04,1e-04,,,22.6894,,,,,,,,-1.9606,-3.9016,,,0,,,,,,,,0.0607,6e-04,,,0.9124,0.9057,0.1778,0.1651,0.0028,0,12.0953,0.0024,0.7788,0,0.9553,0.2512,-4.2523,0.0136,1,DR , avg_oil_pri_barrel_3QMA_lag_1+avg_oil_pri_barrel_6QMA_lag_1, avg_oil_pri_barrel_3QMA_lag_1|avg_oil_pri_barrel_6QMA_lag_1, avg_oil_pri_barrel_3QMA_lag_1|avg_oil_pri_barrel_6QMA_lag_1,avg_oil_pri_barrel_3QMA_lag_1|avg_oil_pri_barrel_6QMA_lag_1
DR ~ avg_oil_pri_barrel_3QMA_lag_1+avg_oil_pri_barrel_lag_2,0.0438,,,,,,,,-4e-04,,0,,0.0023,,,,,,,,2e-04,,2e-04,,18.8342,,,,,,,,-2.1508,,0.2617,,0,,,,,,,,0.041,,0.7956,,0.8615,0.8508,0.1007,0.17,0.0035,0,1.6905,0.4294,0.6674,0,0.8038,1e-04,-4.3257,0.011,0.5,DR , avg_oil_pri_barrel_3QMA_lag_1+avg_oil_pri_barrel_lag_2, avg_oil_pri_barrel_3QMA_lag_1|avg_oil_pri_barrel_lag_2, avg_oil_pri_barrel_3QMA_lag_1|avg_oil_pri_barrel_lag_2,avg_oil_pri_barrel_3QMA_lag_1|avg_oil_pri_barrel_lag_2
DR ~ avg_oil_pri_barrel_3QMA_lag_1+avg_oil_pri_barrel_lag_3,0.0442,,,,,,,,-2e-04,,,-1e-04,0.0022,,,,,,,,1e-04,,,1e-04,19.9765,,,,,,,,-2.5317,,,-1.6609,0,,,,,,,,0.0177,,,0.1087,0.8745,0.8648,0.1083,0.1633,0.0033,0,2.203,0.3324,0.8709,0,0.8048,1e-04,-5.0018,0.01,1,DR , avg_oil_pri_barrel_3QMA_lag_1+avg_oil_pri_barrel_lag_3, avg_oil_pri_barrel_3QMA_lag_1|avg_oil_pri_barrel_lag_3, avg_oil_pri_barrel_3QMA_lag_1|avg_oil_pri_barrel_lag_3,avg_oil_pri_barrel_3QMA_lag_1|avg_oil_pri_barrel_lag_3
DR ~ avg_oil_pri_barrel_6QMA_lag_1+avg_oil_pri_barrel_lag_2,0.0477,,,,,,,,,-3e-04,-1e-04,,0.0021,,,,,,,,,1e-04,1e-04,,22.4287,,,,,,,,,-4.6462,-1.8235,,0,,,,,,,,,1e-04,0.0797,,0.9109,0.904,0.1832,0.1705,0.0028,0,11.5964,0.003,0.7786,0,0.9575,0.2857,-3.9872,0.023,1,DR , avg_oil_pri_barrel_6QMA_lag_1+avg_oil_pri_barrel_lag_2, avg_oil_pri_barrel_6QMA_lag_1|avg_oil_pri_barrel_lag_2, avg_oil_pri_barrel_6QMA_lag_1|avg_oil_pri_barrel_lag_2,avg_oil_pri_barrel_6QMA_lag_1|avg_oil_pri_barrel_lag_2
DR ~ avg_oil_pri_barrel_6QMA_lag_1+avg_oil_pri_barrel_lag_3,0.0481,,,,,,,,,-3e-04,,0,0.0023,,,,,,,,,1e-04,,1e-04,20.6981,,,,,,,,,-3.8371,,-0.4011,0,,,,,,,,,7e-04,,0.6916,0.9001,0.8924,0.2007,0.1936,0.003,0,10.6884,0.0048,0.6963,0,0.989,0.9867,-4.2968,0.012,1,DR , avg_oil_pri_barrel_6QMA_lag_1+avg_oil_pri_barrel_lag_3, avg_oil_pri_barrel_6QMA_lag_1|avg_oil_pri_barrel_lag_3, avg_oil_pri_barrel_6QMA_lag_1|avg_oil_pri_barrel_lag_3,avg_oil_pri_barrel_6QMA_lag_1|avg_oil_pri_barrel_lag_3
DR ~ avg_oil_pri_barrel_lag_2+avg_oil_pri_barrel_lag_3,0.0438,,,,,,,,,,-2e-04,-2e-04,0.0022,,,,,,,,,,1e-04,1e-04,19.7071,,,,,,,,,,-2.3559,-2.6249,0,,,,,,,,,,0.0263,0.0143,0.871,0.8611,0.1093,0.1694,0.0034,0,1.7727,0.4122,0.8837,0,0.8036,1e-04,-4.5742,0.01,1,DR , avg_oil_pri_barrel_lag_2+avg_oil_pri_barrel_lag_3, avg_oil_pri_barrel_lag_2|avg_oil_pri_barrel_lag_3, avg_oil_pri_barrel_lag_2|avg_oil_pri_barrel_lag_3,avg_oil_pri_barrel_lag_2|avg_oil_pri_barrel_lag_3
